RUTA;FECHA;REFLIV;ORDLIV;TVACCE;CODCLI;@NOMBRE;AD1CLI;VILCLI;PESO;     NOMFOU;CODFOU;CODMOP;CULCOL;CPICLI
6310;28/12/2022;80769705;150;ENTREGA DE 08 A 13 H;L0MD91        ;LLAR  BEGUR                   ; BEGUR, Nº 22                        ;BARCELONA                 ;4;CONGELADOS                    ;B             ;PTY;2;8028
6310;28/12/2022;80769706;100;ENTREGA DE 08 A 13 H;L0GH05        ;RCIA CARMELITES               ; C/DE LA IMMACULADA                   ;BARCELONA                 ;3;CONGELADOS                    ;B             ;PTY;1;8017
6310;28/12/2022;80769707;80;7.30 A 13:30        ;L0H024        ;MASIA MAS TABA                ; MAS TABA S/N                         ;CORBERA DEL LLOBREGAT     ;36,575;CONGELADOS                    ;B             ;PTY;3;8140
6310;28/12/2022;80769719;440;                    ;L0NF44        ;DISTR. GENERALITAT            ;DEL FOC 57                            ;BARCELONA                 ;210,658;REFRIGERADOS                  ;B             ;26;22;8038
6310;28/12/2022;80769727;440;                    ;L0NF44        ;DISTR. GENERALITAT            ;DEL FOC 57                            ;BARCELONA                 ;108,5;CONGELADOS                    ;B             ;PTY;16;8038
6310;28/12/2022;80769735;40;DE 8 A 16H          ;L0MD51        ;RCIA.L MAS D'ANGLI            ; C/ INSTITUT QUIMIC DE                ;BARCELONA                 ;186,284;REFRIGERADOS                  ;B             ;26;20;8017
6310;28/12/2022;80769739;100;ENTREGA DE 08 A 13 H;L0GH05        ;RCIA CARMELITES               ; C/DE LA IMMACULADA                   ;BARCELONA                 ;10,227;REFRIGERADOS                  ;B             ;26;1;8017
6310;28/12/2022;80769740;60;                    ;L0NF31        ;PRIMITIVA BARBA               ; Onze de Setembre 1                   ;SANT VICENC DELS HORTS    ;30;CONGELADOS                    ;B             ;PTY;3;8620
6310;28/12/2022;80769741;60;                    ;L0NF31        ;PRIMITIVA BARBA               ; Onze de Setembre 1                   ;SANT VICENC DELS HORTS    ;13,117;REFRIGERADOS                  ;B             ;26;2;8620
6310;28/12/2022;80769750;150;ENTREGA DE 08 A 13 H;L0MD91        ;LLAR  BEGUR                   ; BEGUR, Nº 22                        ;BARCELONA                 ;16,91;REFRIGERADOS                  ;B             ;26;3;8028
6310;28/12/2022;80769752;40;DE 8 A 16H          ;L0MD51        ;RCIA.L MAS D'ANGLI            ; C/ INSTITUT QUIMIC DE                ;BARCELONA                 ;47;CONGELADOS                    ;B             ;PTY;7;8017
6310;28/12/2022;80769753;80;7.30 A 13:30        ;L0H024        ;MASIA MAS TABA                ; MAS TABA S/N                         ;CORBERA DEL LLOBREGAT     ;103,425;REFRIGERADOS                  ;B             ;26;11;8140
6320;28/12/2022;80769690;50;                    ;L0JF53        ;GERMANS AYMAR I PUIG          ; GERMANS AYMAR I PUIG 9               ;ALELLA                    ;76;CONGELADOS                    ;B             ;PTY;17;8328
6320;28/12/2022;80769691;20;DE 07,00-12,00 H    ;L0ND80        ;FUNDACIO CASA ASIL            ; C/ AGUSTI MILA 78                    ;BARCELONA                 ;143;CONGELADOS                    ;B             ;PTY;23;8030
6320;28/12/2022;80769693;10;ENTREGA DE 08 A 12 H;L0JF11        ;CENTRE D'ACOLLIDA ELS LLIMONER;CRTA SANT CUGAT KM 5                  ;BARCELONA                 ;38,5;CONGELADOS                    ;B             ;PTY;7;8035
6320;28/12/2022;80769701;20;DE 7:00 A 11H       ;L0G232        ;HOSP MARE DDEU MERCE          ; PASEO UNIVERSAL                      ;BARCELONA                 ;132,125;CONGELADOS                    ;B             ;PTY;27;8031
6320;28/12/2022;80769708;120;ENTREGA DE 08 A 13 H;L0LF94        ;FUNDACIO RESIDENCIA GUILLEM MA; VALL 69                              ;CANET DE MAR              ;127;CONGELADOS                    ;B             ;PTY;16;8360
6320;28/12/2022;80769710;40;07:00 A 12:00       ;L0KA39        ;LABORATORIOS MENARIN          ; ALFONSO XII, 587                     ;BADALONA                  ;57,222;REFRIGERADOS                  ;B             ;26;5;8918
6320;28/12/2022;80769711;70;                    ;L0LE63        ;VILA BETANIA                  ; SANT RAFAEL 33                       ;ARENYS DE MAR             ;243,95;REFRIGERADOS                  ;B             ;26;23;8350
6320;28/12/2022;80769712;50;                    ;L0JF53        ;GERMANS AYMAR I PUIG          ; GERMANS AYMAR I PUIG 9               ;ALELLA                    ;95,643;REFRIGERADOS                  ;B             ;26;12;8328
6320;28/12/2022;80769716;20;DE 07,00-12,00 H    ;L0ND80        ;FUNDACIO CASA ASIL            ; C/ AGUSTI MILA 78                    ;BARCELONA                 ;374,603;REFRIGERADOS                  ;B             ;26;39;8030
6320;28/12/2022;80769723;70;                    ;L0LE63        ;VILA BETANIA                  ; SANT RAFAEL 33                       ;ARENYS DE MAR             ;35,5;CONGELADOS                    ;B             ;PTY;4;8350
6320;28/12/2022;80769732;20;DE 7:00 A 11H       ;L0G232        ;HOSP MARE DDEU MERCE          ; PASEO UNIVERSAL                      ;BARCELONA                 ;20;CONGELADOS                    ;B             ;PTY;2;8031
6320;28/12/2022;80769734;100;ENTREGA DE 08 A 12 H;L0JC79        ;ESCOLA PARE COLL              ; Ronda camprodón 37 37               ;VIC                       ;48;REFRIGERADOS                  ;B             ;26;4;8500
6320;28/12/2022;80769737;10;ENTREGA DE 08 A 12 H;L0JF11        ;CENTRE D'ACOLLIDA ELS LLIMONER;CRTA SANT CUGAT KM 5                  ;BARCELONA                 ;26,282;REFRIGERADOS                  ;B             ;26;3;8035
6320;28/12/2022;80769745;40;07:00 A 12:00       ;L0KA39        ;LABORATORIOS MENARIN          ; ALFONSO XII, 587                     ;BADALONA                  ;47,5;CONGELADOS                    ;B             ;PTY;5;8918
6320;28/12/2022;80769754;20;DE 7:00 A 11H       ;L0G232        ;HOSP MARE DDEU MERCE          ; PASEO UNIVERSAL                      ;BARCELONA                 ;481,704;REFRIGERADOS                  ;B             ;26;42;8031
6330;28/12/2022;80769692;50;DE 7 A 10:30H       ;L0H168        ;LOUIS VUITTON                 ; AVDA. TORRE D'EN MATEU               ;BARBERA DEL VALLES        ;125;CONGELADOS                    ;B             ;PTY;16;8210
6330;28/12/2022;80769694;100;09:00 A 13:00       ;L0MD81        ;CSC AT SOCIAL (FRED           ; D'ESLIDA 6                           ;VILADECANS                ;296,968;CONGELADOS                    ;B             ;PTY;41;8840
6330;28/12/2022;80769703;90;07:00 A 14:30       ;L0L526        ;LA PINEDA                     ; RONDA PONENT 133                     ;TERRASSA                  ;279,795;CONGELADOS                    ;B             ;PTY;32;8225
6330;28/12/2022;80769709;110;07:00 A 13:30       ;L0L529        ;CENTRE MEDIC MOLINS           ; P TERRAPLE, 97                       ;MOLINS DE REY             ;197,8;CONGELADOS                    ;B             ;PTY;31;8750
6330;28/12/2022;80769713;50;DE 7 A 10:30H       ;L0H168        ;LOUIS VUITTON                 ; AVDA. TORRE D'EN MATEU               ;BARBERA DEL VALLES        ;124,009;REFRIGERADOS                  ;B             ;26;15;8210
6330;28/12/2022;80769714;120;DE 7 A 11H          ;L0G696        ;ROCHE DIAGNOSTICS S.          ; AV. GENERALITAT, S/N                 ;SANT CUGAT DEL VALLES     ;38,432;REFRIGERADOS                  ;B             ;26;7;8174
6330;28/12/2022;80769715;100;09:00 A 13:00       ;L0MD81        ;CSC AT SOCIAL (FRED           ; D'ESLIDA 6                           ;VILADECANS                ;579,526;REFRIGERADOS                  ;B             ;26;62;8840
6330;28/12/2022;80769717;90;07:00 A 14:30       ;L0L526        ;LA PINEDA                     ; RONDA PONENT 133                     ;TERRASSA                  ;345,028;REFRIGERADOS                  ;B             ;26;33;8225
