SSCC;PRODUCTO;DESCRIPCION;F_CADUC;ESTADO;UNIDS_STO;UNIDS_DES;MOTIVO;   ZONA;ALL;DPL;NIV;LOTE;EMBALAJE
'000000000004713197;30801            ;CROQUETA CASERA POLLO CONG*   ;20231128;10;7;6;   ;M;110;9;0;'20616               ;PBL
'384105000261664251;30802            ;CROQUETA POLLO CONG*          ;20231228;10;3;0;   ;M;110;10;0;'20712               ;PBL
'384105000261664275;85171            ;CROQUETA ARTESANA BACALAO CONG;20240228;10;69;2;   ;M;110;130;0;'20902               ;PBL
'384105000261696481;37497            ;QUESO MEZCLA SEMICURADO  KG   ;20231003;40;2;0;   ;E;4;10;0;'202227611           ;PBL
'384105000261703936;31662            ;FIAMB YORK 11X11 MAGRO PIE ENT;20230406;40;1;0;   ;E;4;13;0;'176401              ;PBL
'384105000261703967;58471            ;BACON PREFORMADO PIEZA ENTERA*;20230216;40;1;0;   ;E;4;9;1;'23901               ;PBL
'384105000261703981;34815            ;NARANJA ZUMO 7/8 UN/KG*       ;20221226;10;33;0;   ;E;2;4;0;'0022431             ;PBL
'384105000261703998;33488            ;LIMON PRIMERA GRANEL KG*      ;20221226;40;12;0;   ;E;4;26;1;'0022431             ;PBL
'384105000261696535;33915            ;MANZANA ROYAL GALA 5/6 UN/KG* ;20221218;40;62;0;   ;E;1;9;2;'00000314            ;PBL
'384105000261696542;36573            ;PERA BLANQUILLA 6/7 UN/KG*    ;20221218;10;34;0;   ;E;2;24;0;'00000282            ;PBL
'384105000261696559;36574            ;PERA BLANQUILLA 8/+UN/KG*     ;20221218;40;46;0;   ;E;1;8;2;'00000282            ;PBL
'384105000261636333;33265            ;LECHE DESNATADA BRICK 1L*     ;20221126;10;80;0;   ;E;2;22;0;'2611222F10          ;PBL
'384105000261636340;33265            ;LECHE DESNATADA BRICK 1L*     ;20221126;40;125;0;   ;E;4;8;4;'2611222F10          ;PBL
'384105000261676124;164828           ;CABALLA/VERDEL FILETE C/P S/E ;20240131;10;76;0;   ;M;110;550;0;'22201               ;PBL
'000000000004721208;77240            ;TERNERA TACO GUISAR ELABORADA ;20240229;10;74;4;   ;M;110;89;0;'2207857             ;PBL
'384105000261676155;158103           ;POLLO PECHUGA FILETE 160G IQF ;20240331;10;108;0;   ;M;110;522;0;'4493                ;PBL
'384105000261527389;36315            ;PATATA DADO PREFRITA CONG     ;20240131;10;67;1;   ;M;110;45;0;'1004136352          ;PBL
'384105000261676162;84034            ;POLLO JAMONCITO 120G IQF CONG ;20240131;10;13;9;   ;M;110;123;0;'5436                ;PBL
'384105000261676179;84034            ;POLLO JAMONCITO 120G IQF CONG ;20240131;10;108;0;   ;M;110;123;0;'5436                ;PBL
