PEDIDO         ;REFERENCIA     ;ACTIVIDAD      ;CIRPIC         ;F.ENTREGA      ;PRODUCTO       ;DESCRIPCIÓN    ;PCBPRO         ;U.PEDIDA       ;U.SERVIDA      ;ENTORNO        ;CAJAS          ;U.SUELTAS      ;POPCAC         
22908196;80769710;26;26;20221228;32812;HUEVO LIQUIDO 1L*             ;1;1;1;FGE50BCN  ;1;0;100
22908196;80769710;26;26;20221228;33265;LECHE DESNATADA BRICK 1L*     ;1;2;2;FGE50BCN  ;2;0;100
22908196;80769710;26;26;20221228;36855;PIÑA TROPICAL UNIDAD KG*.     ;1;1;1;FGE50BCN  ;1;0;100
22908196;80769710;26;26;20221228;89216;LECH ICEBERG CORTE GRUESO 4ª G;5;4;4;FGE50BCN  ;0;4;0
22908196;80769710;26;26;20221228;90726;FIAMBRE YORK LONCHAS UD       ;1;1;1;FGE50BCN  ;1;0;100
22908197;80769711;26;26;20221228;10664;ZANAHORIA PRIMERA GRANEL KG   ;1;3;3;FGE50BCN  ;3;0;100
22908197;80769711;26;26;20221228;32903;JAMON YORK BAJO EN SAL PIEZA  ;1;1;1;FGE50BCN  ;1;0;100
22908197;80769711;26;26;20221228;33319;LECHE SEMIDESNATADA BRICK 1L* ;1;15;15;FGE50BCN  ;15;0;100
22908197;80769711;26;26;20221228;34800;NARANJA MESA 5/6 UN/KG*       ;1;1;1;FGE50BCN  ;1;0;100
22908197;80769711;26;26;20221228;36814;PIMIENTO VERDE G              ;1;1;1;FGE50BCN  ;1;0;100
22908197;80769711;26;26;20221228;77694;BANANA VERDE 8/10 UN/KG       ;1;1;1;FGE50BCN  ;1;0;100
22908197;80769711;26;26;20221228;9138;CHORIZO GUISAR 1ª ENTERO      ;1;1;1;FGE50BCN  ;1;0;100
22908198;80769713;26;26;20221228;33332;LECH ICEB.C.FINO BOLSA 1 KILO ;8;6;6;FGE50BCN  ;0;6;0
22908198;80769713;26;26;20221228;36476;PECHUGA COCIDA PAVO PIEZA ENTE;1;2;2;FGE50BCN  ;2;0;100
22908198;80769713;26;26;20221228;37454;QUESO FRESCO BURGOS BARRA 1KG ;4;4;4;FGE50BCN  ;1;0;100
22908198;80769713;26;26;20221228;39342;TOMATE ENSALADA G GRANEL      ;1;3;3;FGE50BCN  ;3;0;100
22908198;80769713;26;26;20221228;39367;TOAMTE MADURO MM GRANELL      ;1;3;3;FGE50BCN  ;3;0;100
22908198;80769713;26;26;20221228;58471;BACON PREFORMADO PIEZA ENTERA*;1;1;1;FGE50BCN  ;1;0;100
22908198;80769713;26;26;20221228;60597;POLLO ENTERO 1200-1300G       ;1;3;3;FGE50BCN  ;3;0;100
22908198;80769713;26;26;20221228;67990;ATUN ACEITE GIRASOL BOL 1KG   ;1;1;1;FGE50BCN  ;1;0;100
22908198;80769713;26;26;20221228;89197;ENSALADA MEZCLUM BOLSA PEQUEÑA;6;6;6;FGE50BCN  ;1;0;100
22908198;80769713;26;26;20221228;89269;TOMATE CHERRY UNIDAD          ;9;6;6;FGE50BCN  ;0;6;0
22908199;80769712;26;26;20221228;32903;JAMON YORK BAJO EN SAL PIEZA  ;1;1;1;FGE50BCN  ;1;0;100
22908199;80769712;26;26;20221228;32954;JAMON CURADO SERRANO LCHAS GRA;1;2;2;FGE50BCN  ;2;0;100
22908199;80769712;26;26;20221228;33906;MANZANA GOLDEN 7/8 UN/KG*     ;1;3;3;FGE50BCN  ;3;0;100
22908199;80769712;26;26;20221228;36308;PATATA C.BRAVA BOLSA 4GAMA    ;1;2;2;FGE50BCN  ;2;0;100
22908199;80769712;26;26;20221228;39245;TERNERA REDONDO ENTERO        ;1;1;1;FGE50BCN  ;1;0;100
22908199;80769712;26;26;20221228;39367;TOAMTE MADURO MM GRANELL      ;1;2;2;FGE50BCN  ;2;0;100
22908199;80769712;26;26;20221228;6155;BANANA MADURA 8/10 UN/KG      ;1;1;1;FGE50BCN  ;1;0;100
22908199;80769712;26;26;20221228;89197;ENSALADA MEZCLUM BOLSA PEQUEÑA;6;4;4;FGE50BCN  ;0;4;0
22908199;80769712;26;26;20221228;89216;LECH ICEBERG CORTE GRUESO 4ª G;5;4;4;FGE50BCN  ;0;4;0
22908200;80769714;26;26;20221228;36790;PIMIENTO ROJO G               ;1;1;1;FGE50BCN  ;1;0;100
22908200;80769714;26;26;20221228;39081;TERNERA BABILLA FILETE 160G   ;1;1;1;FGE50BCN  ;1;0;100
22908200;80769714;26;26;20221228;39342;TOMATE ENSALADA G GRANEL      ;1;1;1;FGE50BCN  ;1;0;100
22908200;80769714;26;26;20221228;62452;CERDO SECRETO ENTERO          ;1;2;0;FGE50BCN  ;0;0;100
22908200;80769714;26;26;20221228;7365;CALABAZIN 1ª                  ;1;1;1;FGE50BCN  ;1;0;100
22908200;80769714;26;26;20221228;89216;LECH ICEBERG CORTE GRUESO 4ª G;5;8;8;FGE50BCN  ;1;3;62
22908201;80769715;26;26;20221228;10664;ZANAHORIA PRIMERA GRANEL KG   ;1;2;2;FGE50BCN  ;2;0;100
22908201;80769715;26;26;20221228;14782;PATATA C.DADO BOLSA 4GAMA     ;1;5;5;FGE50BCN  ;5;0;100
22908201;80769715;26;26;20221228;14784;PATATA C.PANADERA BOLSA 4GAMA ;1;2;2;FGE50BCN  ;2;0;100
22908201;80769715;26;26;20221228;32877;JAMON YORK EXTRA PIEZA ENTERA ;1;2;2;FGE50BCN  ;2;0;100
22908201;80769715;26;26;20221228;33319;LECHE SEMIDESNATADA BRICK 1L* ;1;24;24;FGE50BCN  ;24;0;100
22908201;80769715;26;26;20221228;33796;MANDARINA 10/12 UN/KG*        ;1;3;3;FGE50BCN  ;3;0;100
22908201;80769715;26;26;20221228;34800;NARANJA MESA 5/6 UN/KG*       ;1;2;2;FGE50BCN  ;2;0;100
22908201;80769715;26;26;20221228;36476;PECHUGA COCIDA PAVO PIEZA ENTE;1;4;0;FGE50BCN  ;0;0;100
22908201;80769715;26;26;20221228;36573;PERA BLANQUILLA 6/7 UN/KG*    ;1;4;4;FGE50BCN  ;4;0;100
22908201;80769715;26;26;20221228;36814;PIMIENTO VERDE G              ;1;3;3;FGE50BCN  ;3;0;100
22908201;80769715;26;26;20221228;39096;TERNERA PREP CARNE PICADA*    ;1;2;2;FGE50BCN  ;2;0;100
22908201;80769715;26;26;20221228;39367;TOAMTE MADURO MM GRANELL      ;1;2;2;FGE50BCN  ;2;0;100
22908201;80769715;26;26;20221228;5046;ACEITE GIRASOL GAR 5L         ;1;1;1;FGE50BCN  ;1;0;100
22908201;80769715;26;26;20221228;5067;ACEITE OLIVA 1º GAR 5L        ;1;1;1;FGE50BCN  ;1;0;100
22908201;80769715;26;26;20221228;5435;AJO ENTERO PELADO BOLSA 4ªGAMA;12;2;2;FGE50BCN  ;0;2;0
22908201;80769715;26;26;20221228;6392;BERENJENA 1ª                  ;1;3;3;FGE50BCN  ;3;0;100
22908201;80769715;26;26;20221228;7124;BUTIFARRA CERDO BLANCA*       ;1;1;1;FGE50BCN  ;1;0;100
22908201;80769715;26;26;20221228;7140;BUTIFARRA CERDO NEGRA*        ;1;1;1;FGE50BCN  ;1;0;100
22908202;80769716;26;26;20221228;14618;MANZANA ROYAL GALA 7/8 UN/KG* ;1;1;1;FGE50BCN  ;1;0;100
22908202;80769716;26;26;20221228;32954;JAMON CURADO SERRANO LCHAS GRA;1;3;3;FGE50BCN  ;3;0;100
22908202;80769716;26;26;20221228;33319;LECHE SEMIDESNATADA BRICK 1L* ;1;12;12;FGE50BCN  ;12;0;100
22908202;80769716;26;26;20221228;33488;LIMON PRIMERA GRANEL KG*      ;7;4;4;FGE50BCN  ;0;4;0
22908202;80769716;26;26;20221228;33795;MANDARINA 14/16 UN/KG*        ;1;2;2;FGE50BCN  ;2;0;100
22908202;80769716;26;26;20221228;33906;MANZANA GOLDEN 7/8 UN/KG*     ;1;3;3;FGE50BCN  ;3;0;100
22908202;80769716;26;26;20221228;34800;NARANJA MESA 5/6 UN/KG*       ;1;1;1;FGE50BCN  ;1;0;100
22908202;80769716;26;26;20221228;36308;PATATA C.BRAVA BOLSA 4GAMA    ;1;6;6;FGE50BCN  ;6;0;100
22908202;80769716;26;26;20221228;36573;PERA BLANQUILLA 6/7 UN/KG*    ;1;2;2;FGE50BCN  ;2;0;100
22908202;80769716;26;26;20221228;39367;TOAMTE MADURO MM GRANELL      ;1;1;1;FGE50BCN  ;1;0;100
22908202;80769716;26;26;20221228;4360;PAVO TACO GUISAR*             ;1;1;1;FGE50BCN  ;1;0;100
22908202;80769716;26;26;20221228;4398;QUESO SANDW ESCALONADA KG     ;8;4;4;FGE50BCN  ;0;4;0
22908202;80769716;26;26;20221228;5067;ACEITE OLIVA 1º GAR 5L        ;1;1;1;FGE50BCN  ;1;0;100
22908202;80769716;26;26;20221228;5435;AJO ENTERO PELADO BOLSA 4ªGAMA;12;1;1;FGE50BCN  ;0;1;0
22908202;80769716;26;26;20221228;6155;BANANA MADURA 8/10 UN/KG      ;1;1;1;FGE50BCN  ;1;0;100
22908202;80769716;26;26;20221228;8093;CEBOLLA ENTERA PELADA BOLSA 4ª;4;2;2;FGE50BCN  ;0;2;0
22908202;80769716;26;26;20221228;89216;LECH ICEBERG CORTE GRUESO 4ª G;5;6;6;FGE50BCN  ;1;1;83
22908202;80769716;26;26;20221228;90726;FIAMBRE YORK LONCHAS UD       ;1;4;4;FGE50BCN  ;4;0;100
22908203;80769717;26;26;20221228;33319;LECHE SEMIDESNATADA BRICK 1L* ;1;12;12;FGE50BCN  ;12;0;100
22908203;80769717;26;26;20221228;33335;LECH ICEBERG 550G             ;10;6;6;FGE50BCN  ;0;6;0
22908203;80769717;26;26;20221228;33796;MANDARINA 10/12 UN/KG*        ;1;1;1;FGE50BCN  ;1;0;100
22908203;80769717;26;26;20221228;34799;NARANJA MESA 3/4 UN/KG*       ;1;1;1;FGE50BCN  ;1;0;100
22908203;80769717;26;26;20221228;36308;PATATA C.BRAVA BOLSA 4GAMA    ;1;4;4;FGE50BCN  ;4;0;100
22908203;80769717;26;26;20221228;36581;PERA CONFERENCIA 4/5 UN/KG    ;1;1;1;FGE50BCN  ;1;0;100
22908203;80769717;26;26;20221228;37454;QUESO FRESCO BURGOS BARRA 1KG ;4;1;1;FGE50BCN  ;0;1;0
22908203;80769717;26;26;20221228;38044;SALCHICHA CERDO 30G*          ;1;1;1;FGE50BCN  ;1;0;100
22908203;80769717;26;26;20221228;39367;TOAMTE MADURO MM GRANELL      ;1;3;3;FGE50BCN  ;3;0;100
22908203;80769717;26;26;20221228;5046;ACEITE GIRASOL GAR 5L         ;1;2;2;FGE50BCN  ;2;0;100
22908203;80769717;26;26;20221228;5435;AJO ENTERO PELADO BOLSA 4ªGAMA;12;2;2;FGE50BCN  ;0;2;0
22908203;80769717;26;26;20221228;7706;CAQUI GRANEL KG               ;1;2;0;FGE50BCN  ;0;0;100
22908203;80769717;26;26;20221228;77694;BANANA VERDE 8/10 UN/KG       ;1;1;1;FGE50BCN  ;1;0;100
22908203;80769717;26;26;20221228;8093;CEBOLLA ENTERA PELADA BOLSA 4ª;4;1;1;FGE50BCN  ;0;1;0
22908203;80769717;26;26;20221228;8419;CERDO MAGRO TACO GUISAR*      ;1;3;3;FGE50BCN  ;3;0;100
22908203;80769717;26;26;20221228;89216;LECH ICEBERG CORTE GRUESO 4ª G;5;2;2;FGE50BCN  ;0;2;0
22908203;80769717;26;26;20221228;90767;HUEVO COCIDO M CUBO MEDIANO*  ;1;2;2;FGE50BCN  ;2;0;100
22908204;80769718;26;26;20221228;14163;BUTIFARRA 140GR CERDO         ;1;2;0;FGE50BCN  ;0;0;100
22908204;80769718;26;26;20221228;32812;HUEVO LIQUIDO 1L*             ;1;1;1;FGE50BCN  ;1;0;100
22908204;80769718;26;26;20221228;36790;PIMIENTO ROJO G               ;1;1;1;FGE50BCN  ;1;0;100
22908204;80769718;26;26;20221228;7365;CALABAZIN 1ª                  ;1;10;10;FGE50BCN  ;10;0;100
22908204;80769718;26;26;20221228;8093;CEBOLLA ENTERA PELADA BOLSA 4ª;4;2;2;FGE50BCN  ;0;2;0
22908205;80769719;26;26;20221228;33904;MANZANA GOLDEN 3/4 UN/KG*     ;1;1;1;FGE50BCN  ;1;0;100
22908205;80769719;26;26;20221228;34815;NARANJA ZUMO 7/8 UN/KG*       ;1;7;7;FGE50BCN  ;7;0;100
22908205;80769719;26;26;20221228;36855;PIÑA TROPICAL UNIDAD KG*.     ;1;2;2;FGE50BCN  ;2;0;100
22908205;80769719;26;26;20221228;39081;TERNERA BABILLA FILETE 160G   ;1;3;3;FGE50BCN  ;3;0;100
22908205;80769719;26;26;20221228;39342;TOMATE ENSALADA G GRANEL      ;1;2;2;FGE50BCN  ;2;0;100
22908205;80769719;26;26;20221228;39367;TOAMTE MADURO MM GRANELL      ;1;3;3;FGE50BCN  ;3;0;100
22908205;80769719;26;26;20221228;6392;BERENJENA 1ª                  ;1;2;2;FGE50BCN  ;2;0;100
22908205;80769719;26;26;20221228;7365;CALABAZIN 1ª                  ;1;1;1;FGE50BCN  ;1;0;100
22908205;80769719;26;26;20221228;89197;ENSALADA MEZCLUM BOLSA PEQUEÑA;6;10;10;FGE50BCN  ;1;4;60
22908206;80769720;26;26;20221228;10664;ZANAHORIA PRIMERA GRANEL KG   ;1;3;3;FGE50BCN  ;3;0;100
22908206;80769720;26;26;20221228;31666;FIAMBRE LOMO ADOBADO PIEZA ENT;1;1;1;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;33319;LECHE SEMIDESNATADA BRICK 1L* ;1;10;10;FGE50BCN  ;10;0;100
22908206;80769720;26;26;20221228;33335;LECH ICEBERG 550G             ;10;1;1;FGE50BCN  ;0;1;0
22908206;80769720;26;26;20221228;33335;LECH ICEBERG 550G             ;10;10;10;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;33805;MANDARINA 7/8 UN/KG*          ;1;1;1;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;33872;MANTEQUILLA PASTILLA 1KG*     ;10;3;3;FGE50BCN  ;0;3;0
22908206;80769720;26;26;20221228;33905;MANZANA GOLDEN 5/6 UN/KG*     ;1;2;2;FGE50BCN  ;2;0;100
22908206;80769720;26;26;20221228;34799;NARANJA MESA 3/4 UN/KG*       ;1;1;1;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;36573;PERA BLANQUILLA 6/7 UN/KG*    ;1;2;2;FGE50BCN  ;2;0;100
22908206;80769720;26;26;20221228;36814;PIMIENTO VERDE G              ;1;1;1;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;37091;POLLO CONTRAMUSLO S/HUESO     ;1;1;1;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;37188;POLLO PECHUGA ENTERA S/HUESO  ;1;1;1;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;5046;ACEITE GIRASOL GAR 5L         ;1;2;2;FGE50BCN  ;2;0;100
22908206;80769720;26;26;20221228;65492;POLLO CTO. TRASERO 250-325 GR ;1;2;2;FGE50BCN  ;2;0;100
22908206;80769720;26;26;20221228;7365;CALABAZIN 1ª                  ;1;1;1;FGE50BCN  ;1;0;100
22908206;80769720;26;26;20221228;8336;COSTILLA CERDO TROCEADA GUISAR;1;1;1;FGE50BCN  ;1;0;100
22908207;80769721;26;26;20221228;33335;LECH ICEBERG 550G             ;10;15;15;FGE50BCN  ;1;5;66
22908207;80769721;26;26;20221228;33796;MANDARINA 10/12 UN/KG*        ;1;1;1;FGE50BCN  ;1;0;100
22908207;80769721;26;26;20221228;36855;PIÑA TROPICAL UNIDAD KG*.     ;1;1;1;FGE50BCN  ;1;0;100
22908207;80769721;26;26;20221228;39342;TOMATE ENSALADA G GRANEL      ;1;2;2;FGE50BCN  ;2;0;100
22908207;80769721;26;26;20221228;89197;ENSALADA MEZCLUM BOLSA PEQUEÑA;6;2;2;FGE50BCN  ;0;2;0
