CLIENTE;NOMBRE;REFERENCIA;D_ENTREGA;CAJAS;PREPARADO;RUTA;POBLACION
L0GE97        ;CASAL DELS ANGELS             ;80776426;20230130;33;33;6150;L'HOSPITALET DE LLOBREGAT
L0ND49        ;ESCOLA PAU BOADA              ;80776427;20230130;5;5;7180;VILAFRANCA DEL PENEDAS
L0I099        ;KELLOGGS                      ;80776428;20230130;12;12;7180;VALLS
L0LE81        ;GENT GRAN REUS                ;80776429;20230130;22;22;7180;REUS
L0L803        ;RCI PERE RELATS               ;80776430;20230130;23;23;6150;BARCELONA
L0ND80        ;FUNDACIO CASA ASIL            ;80769733;20230130;42;42;6120;BARCELONA
L0L528        ;AIDAR RUBI                    ;80776432;20230130;3;3;6130;RUBI
L0G944        ;RCIA ESCLA SGDO CORA          ;80776433;20230130;12;12;6110;BARCELONA
L0ND35        ;FEDAC AMILCAR                 ;80776434;20230130;30;30;6120;BARCELONA
L0ND95        ;ASPROSEAT S JUST              ;80776435;20230130;8;8;6110;SANT JUST DESVERN
L0L538        ;FONT FLORIDA                  ;80776436;20230130;26;26;6110;BARCELONA
L0LG22        ;POLICLINICA VENDRELL          ;80776438;20230130;22;22;7180;VENDRELL
L0K981        ;SANDVIK ESPANOLA              ;80776437;20230130;11;11;6130;MARTORELLES
L0MG96        ;HIGHLANDS SCHOOL BARCELONA    ;80769711;20230130;19;19;6150;ESPLUGUES DE LLOBREGAT
L0H168        ;LOUIS VUITTON                 ;80776440;20230130;34;34;6130;BARBERA DEL VALLES
L0MD81        ;CSC AT SOCIAL (FRED           ;80776441;20230130;36;36;6150;VILADECANS
L0LE23        ;CAN LLUPIA                    ;80776442;20230130;18;18;6120;BARCELONA
L0ND81        ;RESID. VENDRELL               ;80776443;20230130;10;10;7180;EL VENDRELL
L0JC79        ;ESCOLA PARE COLL              ;80776444;20230130;10;10;6120;VIC
L0NF31        ;PRIMITIVA BARBA               ;80776445;20230130;8;8;6110;SANT VICENC DELS HORTS
L0KD62        ;APASA                         ;80769712;20230130;21;21;7180;AMPOSTA
L0G232        ;HOSP MARE DDEU MERCE          ;80776447;20230130;26;26;6120;BARCELONA
L0ND78        ;ESCOLA NEN DEU                ;80776448;20230130;7;7;6120;BARCELONA
L0KC06        ;ESCOLA LA ROUREDA             ;80776449;20230130;22;22;7180;SANT ESTEVE SESROVIRES
L0JF65        ;E. ELS COSSETANS              ;80776450;20230130;6;6;7180;CUNIT
L0L529        ;CENTRE MEDIC MOLINS           ;80776451;20230130;29;29;6150;MOLINS DE REY
L0JC95        ;RES. FELIX LLOBET             ;80776452;20230130;15;15;6150;ESPLUGUES LLOBREGAT
L0ND30        ;FEDAC HORTA                   ;80776453;20230130;9;9;6120;BARCELONA
L0LG39        ;MASIES DE MOLLET RESIDENCIAL  ;80776454;20230130;5;5;6130;MOLLET DEL VALLES
L0LG40        ;CENTRE RESIENCIAL CUGAT NATURA;80776455;20230130;11;11;6130;SANT CUGAT DEL VALLES
L0MD64        ;ARAN SALUT                    ;80776456;20230130;25;26;7126;VIELHA
L0L569        ;CEIP RIBAGORCA                ;80776457;20230130;13;13;7126;PONT DE SUERT
L0JE72        ;BASF ESPANOLA-TARR            ;80776458;20230130;53;65;7180;LA CANONJA
L0LG22        ;POLICLINICA VENDRELL          ;80776459;20230130;17;20;7180;VENDRELL
L0MG96        ;HIGHLANDS SCHOOL BARCELONA    ;80776460;20230130;12;12;6150;ESPLUGUES DE LLOBREGAT
L0MD67        ;DP. D'ENSENYAMENT             ;80776461;20230130;2;2;6110;BARCELONA
L0G566        ;LOUIS VUITTON II - B          ;80776462;20230130;12;14;6130;BARCELONA
L0H168        ;LOUIS VUITTON                 ;80776463;20230130;2;13;6130;BARBERA DEL VALLES
L0MD81        ;CSC AT SOCIAL (FRED           ;80776464;20230130;38;40;6150;VILADECANS
L0L790        ;CEIP VALL DE BOI              ;80776465;20230130;5;14;7126;BARRUERA
L0LE23        ;CAN LLUPIA                    ;80776466;20230130;19;24;6120;BARCELONA
L0ND81        ;RESID. VENDRELL               ;80776467;20230130;18;22;7180;EL VENDRELL
L0L528        ;AIDAR RUBI                    ;80776468;20230130;34;36;6130;RUBI
L0JC79        ;ESCOLA PARE COLL              ;80776469;20230130;4;4;6120;VIC
L0NF31        ;PRIMITIVA BARBA               ;80776470;20230130;2;9;6110;SANT VICENC DELS HORTS
L0ND30        ;FEDAC HORTA                   ;80776471;20230130;8;12;6120;BARCELONA
L0G348        ;REFERENCE LABORATORY          ;80776472;20230130;3;3;6150;L'HOSPITALET DE LLOBREGAT
L0MD79        ;C SANITARI SOLSONES           ;80776473;20230130;5;8;7126;SOLSONA
L0L548        ;FUNDACIO PERE BADIA           ;80776474;20230130;29;35;7180;TORREDEMBARRA
